Descrizione,Accuracy dataset originale,Accuracy dataset M3GP
RANDOM FOREST,Media accuracy dataset originale: 0.8220,Media accuracy dataset M3GP: 0.8651
Iterazione 1,0.8538,0.9064
Iterazione 2,0.8772,0.9006
Iterazione 3,0.8772,0.8480
Iterazione 4,0.8421,0.8596
Iterazione 5,0.7427,0.7368
Iterazione 6,0.8363,0.7778
Iterazione 7,0.7778,0.8655
Iterazione 8,0.7368,0.8947
Iterazione 9,0.8187,0.8070
Iterazione 10,0.8421,0.8830
Iterazione 11,0.8012,0.8187
Iterazione 12,0.8187,0.8480
Iterazione 13,0.8246,0.8363
Iterazione 14,0.7602,0.8304
Iterazione 15,0.7544,0.8772
Iterazione 16,0.8246,0.8947
Iterazione 17,0.8538,0.8889
Iterazione 18,0.8421,0.8538
Iterazione 19,0.8421,0.9532
Iterazione 20,0.8304,0.8538
Iterazione 21,0.8187,0.8421
Iterazione 22,0.7836,0.8304
Iterazione 23,0.8246,0.8187
Iterazione 24,0.8363,0.9064
Iterazione 25,0.8480,0.9123
Iterazione 26,0.8187,0.8655
Iterazione 27,0.8596,0.8713
Iterazione 28,0.7895,0.9240
Iterazione 29,0.8538,0.9357
Iterazione 30,0.8713,0.9123
DECISION TREE,Media accuracy dataset originale: 0.7908,Media accuracy dataset M3GP: 0.8166
Iterazione 1,0.8070,0.8363
Iterazione 2,0.8421,0.8889
Iterazione 3,0.8713,0.8830
Iterazione 4,0.8363,0.7836
Iterazione 5,0.7135,0.6959
Iterazione 6,0.7427,0.7836
Iterazione 7,0.8129,0.8070
Iterazione 8,0.7661,0.8947
Iterazione 9,0.8304,0.7602
Iterazione 10,0.8363,0.8596
Iterazione 11,0.7310,0.7661
Iterazione 12,0.8480,0.8246
Iterazione 13,0.7427,0.8830
Iterazione 14,0.7368,0.7836
Iterazione 15,0.7251,0.7544
Iterazione 16,0.7661,0.8363
Iterazione 17,0.8363,0.7895
Iterazione 18,0.7953,0.7719
Iterazione 19,0.7778,0.9006
Iterazione 20,0.7661,0.7544
Iterazione 21,0.8129,0.7544
Iterazione 22,0.7427,0.7661
Iterazione 23,0.7953,0.8304
Iterazione 24,0.8421,0.9006
Iterazione 25,0.7602,0.8421
Iterazione 26,0.7719,0.7251
Iterazione 27,0.7895,0.8772
Iterazione 28,0.7544,0.8304
Iterazione 29,0.8304,0.8830
Iterazione 30,0.8421,0.8304
XGBOOST,Media accuracy dataset originale: 0.7953,Media accuracy dataset M3GP: 0.8281
Iterazione 1,0.8363,0.8889
Iterazione 2,0.8246,0.8480
Iterazione 3,0.8129,0.8070
Iterazione 4,0.8596,0.7602
Iterazione 5,0.6842,0.6842
Iterazione 6,0.7953,0.7661
Iterazione 7,0.7953,0.8480
Iterazione 8,0.7368,0.8772
Iterazione 9,0.8655,0.8480
Iterazione 10,0.8129,0.8538
Iterazione 11,0.7544,0.7778
Iterazione 12,0.8070,0.8070
Iterazione 13,0.7836,0.8187
Iterazione 14,0.7485,0.8129
Iterazione 15,0.7895,0.8772
Iterazione 16,0.7661,0.8538
Iterazione 17,0.8363,0.8187
Iterazione 18,0.8070,0.7544
Iterazione 19,0.8246,0.8596
Iterazione 20,0.7719,0.8129
Iterazione 21,0.7661,0.7485
Iterazione 22,0.7544,0.8304
Iterazione 23,0.7836,0.8421
Iterazione 24,0.8596,0.8596
Iterazione 25,0.8012,0.8772
Iterazione 26,0.7895,0.7251
Iterazione 27,0.7953,0.8889
Iterazione 28,0.7602,0.9006
Iterazione 29,0.8129,0.9064
Iterazione 30,0.8246,0.8889
